Date,Date (unix),Id,Players,Time,Seconds,Link,Game,relative time
2021-03-29,1616976000.0,yo9g467y,KylieKyubi,1h 28m 30s,5310.0,https://www.speedrun.com/crash4/runs/yo9g467y,crash4Any%.csv,
2021-03-29,1616976000.0,zp3e3kgm,CalebOseaYo,1h 25m 43s,5143.0,https://www.speedrun.com/crash4/runs/zp3e3kgm,crash4Any%.csv,-167.0
2021-04-04,1617494400.0,y8v7gwwz,leleo8000,1h 25m 35s,5135.0,https://www.speedrun.com/crash4/runs/y8v7gwwz,crash4Any%.csv,-8.0
2021-04-05,1617580800.0,zgx54eem,leleo8000,1h 24m 08s,5048.0,https://www.speedrun.com/crash4/runs/zgx54eem,crash4Any%.csv,-87.0
2021-04-12,1618185600.0,y6d3jd6m,Jordy_925,1h 22m 37s,4957.0,https://www.speedrun.com/crash4/runs/y6d3jd6m,crash4Any%.csv,-91.0
2021-04-14,1618358400.0,zp1qn7rz,Damosk,1h 20m 22s,4822.0,https://www.speedrun.com/crash4/runs/zp1qn7rz,crash4Any%.csv,-135.0
2021-04-22,1619049600.0,mr1ejngz,Damosk,1h 18m 59s,4739.0,https://www.speedrun.com/crash4/runs/mr1ejngz,crash4Any%.csv,-83.0
2021-04-27,1619481600.0,zxg29xgy,Damosk,1h 18m 20s,4700.0,https://www.speedrun.com/crash4/runs/zxg29xgy,crash4Any%.csv,-39.0
2021-05-05,1620172800.0,zn1or13m,MrJavi94,1h 17m 57s,4677.0,https://www.speedrun.com/crash4/runs/zn1or13m,crash4Any%.csv,-23.0
2021-05-17,1621209600.0,zn10vnvm,MrJavi94,1h 17m 25s,4645.0,https://www.speedrun.com/crash4/runs/zn10vnvm,crash4Any%.csv,-32.0
2021-05-21,1621555200.0,yjgxxv7y,Jordy_925,1h 16m 39s,4599.0,https://www.speedrun.com/crash4/runs/yjgxxv7y,crash4Any%.csv,-46.0
2021-07-23,1626998400.0,y994g7vy,MrJavi94,1h 16m 32s,4592.0,https://www.speedrun.com/crash4/runs/y994g7vy,crash4Any%.csv,-7.0
2021-08-10,1628553600.0,yo6jdl7y,MrJavi94,1h 16m 05s,4565.0,https://www.speedrun.com/crash4/runs/yo6jdl7y,crash4Any%.csv,-27.0
2021-08-16,1629072000.0,yj5l7gom,MrJavi94,1h 15m 44s,4544.0,https://www.speedrun.com/crash4/runs/yj5l7gom,crash4Any%.csv,-21.0
2021-09-20,1632096000.0,mrnrpe8y,MrJavi94,1h 15m 23s,4523.0,https://www.speedrun.com/crash4/runs/mrnrpe8y,crash4Any%.csv,-21.0
2021-09-23,1632355200.0,zqved48m,MrJavi94,1h 14m 55s,4495.0,https://www.speedrun.com/crash4/runs/zqved48m,crash4Any%.csv,-28.0
2021-09-29,1632873600.0,m77009wm,MrJavi94,1h 14m 43s,4483.0,https://www.speedrun.com/crash4/runs/m77009wm,crash4Any%.csv,-12.0
2021-11-28,1638057600.0,mrn3wd4y,MrJavi94,1h 14m 09s,4449.0,https://www.speedrun.com/crash4/runs/mrn3wd4y,crash4Any%.csv,-34.0
2021-12-22,1640131200.0,zq0w1r9y,MrJavi94,1h 13m 38s,4418.0,https://www.speedrun.com/crash4/runs/zq0w1r9y,crash4Any%.csv,-31.0
2022-03-03,1646265600.0,zp2ovevy,MrJavi94,1h 13m 08s,4388.0,https://www.speedrun.com/crash4/runs/zp2ovevy,crash4Any%.csv,-30.0
